time,angular0,velocity0,angular,velocity
0.0,0.4725,0.0,0.3449,0.3449
0.1,0.44782831686364494,-0.48680021093155745,0.35271147604250724,0.35271147604250724
0.2,0.37759819371942976,-0.8998063666090387,0.37180647123075555,0.37180647123075555
0.3,0.2725123077800658,-1.1743472377712871,0.3896081922049835,0.3896081922049835
0.4,0.1486781636953942,-1.2720752664785289,0.38709231632667984,0.38709231632667984
0.5,0.023836088605396884,-1.198532237056773,0.3456166968725965,0.3456166968725965
0.6,-0.08642487271592102,-0.9872478176135815,0.25444031162874065,0.25444031162874065
0.7000000000000001,-0.1705932328217027,-0.6861012160781077,0.11347119910663338,0.11347119910663338
0.8,-0.22292224189995968,-0.364012895375281,-0.06701410902256807,-0.06701410902256807
0.9,-0.24553451505259802,-0.10488889925718614,-0.2665281772732937,-0.2665281772732937
1.0,-0.24768972113654572,0.043562720015396295,-0.45682622117070726,-0.45682622117070726
1.1,-0.2396530152811506,0.10786713204278593,-0.6107402496969548,-0.6107402496969548
1.2,-0.22715926078735144,0.13965670502320915,-0.7104200301076004,-0.7104200301076004
1.3,-0.2119941815499676,0.16229255061396455,-0.7474509231702635,-0.7474509231702635
1.4000000000000001,-0.1951359016261711,0.17175915740260497,-0.7194301964514006,-0.7194301964514006
1.5,-0.17835654894129901,0.16054532131979732,-0.6281577476260195,-0.6281577476260195
1.6,-0.16329197411053856,0.1427213216909213,-0.4804271272996361,-0.4804271272996361
1.7,-0.14841479852371658,0.16722148842799806,-0.2909675871478427,-0.2909675871478427
1.8,-0.1265922900606448,0.28688866623193915,-0.08446215451410251,-0.08446215451410251
1.9000000000000001,-0.0881307710768035,0.49133143854726463,0.10969798268623132,0.10969798268623132
2.0,-0.027931226681746846,0.7079393158681373,0.2680606842766089,0.2680606842766089
2.1,0.051461524527438574,0.8657963674057391,0.378305130593902,0.378305130593902
2.2,0.14185560458408614,0.9231690445966673,0.4382587649206015,0.4382587649206015
2.3000000000000003,0.23205840679973358,0.8599127210481062,0.45398460096016824,0.45398460096016824
2.4,0.3096609556255038,0.6720844878642749,0.43767023052958,0.43767023052958
2.5,0.36288281781911885,0.3772923764129099,0.4039907842901255,0.4039907842901255
2.6,0.382874147163616,0.015519111751629192,0.3656141457551609,0.3656141457551609
2.7,0.3654762410505006,-0.36153884428958205,0.3302707919454399,0.3302707919454399
2.8000000000000003,0.3118398609506467,-0.7004918623447896,0.29999518396616925,0.29999518396616925
2.9,0.22831987003114138,-0.9515744983755885,0.27119380215185285,0.27119380215185285
